username, created_at, lng, lat, text
AlexKoener, Thu Jan 21 20:29:22 +0000 2021, -82.688040, 28.325042, https://t.co/VkoVRRAysm 
destino_desafio, Thu Jan 21 20:29:22 +0000 2021, -84.433106, 33.767195, Omg. When people ask how you’re doing you don’t necessarily have to mention the pandemic anymore at this point. That’s just MY opinion. 
WolfeHockey31, Thu Jan 21 20:29:22 +0000 2021, -76.921967, 39.078606, Congratulations to Shane Miller on committing to play hockey at Illinois State!!!! @ Wolfe Hockey Development https://t.co/RpSWjW13r7 
KoozNole, Thu Jan 21 20:29:22 +0000 2021, -82.442694, 27.996595, https://t.co/q3q1yzGxEs 
King_Gliz, Thu Jan 21 20:29:22 +0000 2021, -86.441236, 39.766555, @Jackie_liuk @theflemming @DetroitOnLion @ffawesomesauce said "hello". 
Rosilu_DV, Thu Jan 21 20:29:22 +0000 2021, -95.850842, 32.196811, o ha vivido de los impuestos del pueblo bueno al que estafa y roba diariamente. Lo que no entiendo es como nadie se… https://t.co/bYxDfn6WEi 
GeorgePolitis, Thu Jan 21 20:29:22 +0000 2021, -81.590344, 28.546119, @BrianFargo So many amazing memories on those shelves! I still remember being a kid in B Dalton Bookseller and pick… https://t.co/oNgUPCLML4 
Rosilu_DV, Thu Jan 21 20:29:22 +0000 2021, -95.850842, 32.196811, ni oficio ni beneficio. Por eso la fama del mexicano en el extranjero, tal parece que los unicos xon pantalones se… https://t.co/qBAboBI3TN 
luperthompson, Thu Jan 21 20:29:22 +0000 2021, -118.325145, 34.182160, @tedcruz If we are not participating in the Paris Climate accord THERE WILL BE NO PITTSBURGH TO BE AROUND!!! YOU AR… https://t.co/NUyMxRtTsy 
BakIkram2, Thu Jan 21 20:29:22 +0000 2021, -79.272570, 43.629311, @AizaMalik22 @AshrafRa9 Test 
teachers05, Thu Jan 21 20:29:22 +0000 2021, -95.432215, 29.022915, @newsmax That is BS 
PatoMarinM, Thu Jan 21 20:29:22 +0000 2021, -80.306964, 25.667719, Cabal está dando papaya. Ojo pues. Qué hueco están dejando ahí 
Joeyutah, Thu Jan 21 20:29:23 +0000 2021, -117.993728, 33.747314, @LifeNewsHQ We’re not surprised, I just thought her would wait a day 
NotTonyDennis, Thu Jan 21 20:29:23 +0000 2021, -83.173867, 32.678207, @jittsbegreenaf Y’all let me tweet anything 
Firpotheclutch, Thu Jan 21 20:29:23 +0000 2021, -91.636674, 44.038690, Reporters need to do a better job. The questions they ask players are terrible, it sounds like they don’t know anyt… https://t.co/F16tJlejb4 
daniesza, Thu Jan 21 20:29:23 +0000 2021, -80.233328, 25.782353, Daniel Rene "Let's Get Uncomfortable" l Self Crush Project l Episode #2 https://t.co/AIuKEvCz6b via @YouTube 
porcelinajune, Thu Jan 21 20:29:23 +0000 2021, -82.442694, 27.996595, Always feel guilty on my telecommuting days when they have a bad day in the building. 2nd person this week we had t… https://t.co/ihJFzXHut2 
Aletupadre, Thu Jan 21 20:29:23 +0000 2021, -83.804475, 27.698682, MALDITA SEA SONY 
JeffreyMWard, Thu Jan 21 20:29:23 +0000 2021, -96.347781, 30.665858, @alizurd I want to surpass 300 (the only year I did that was 2019, I reached 337 for that year). 
aarpbruce, Thu Jan 21 20:29:23 +0000 2021, -121.844349, 47.526913, Much respect! I can so relate. But you’ve got important info to dispel misinfo on Biden. I hope @ratemyskyperoom gi… https://t.co/Ylynb9y9EV 
Daviddu316, Thu Jan 21 20:29:23 +0000 2021, -86.142922, 39.779562, @JMV1070 I used to be on the Trade Turner Train. No way in hell I’m trading the best rim protector in the league this year! 
GradybabyMunk, Thu Jan 21 20:29:23 +0000 2021, -83.173867, 32.678207, He gotta be. Just off of his demeanor he doesn’t look like the most charismatic guy. 
nancychatter, Thu Jan 21 20:29:23 +0000 2021, -85.951166, 30.255474, @mtgreenee @mmfa @mtgreenee A disgrace to every Georgian who knows it 2021, not 1621.Everyone who wants equal just… https://t.co/ifRVQxj2jD 
CDullahan, Thu Jan 21 20:29:23 +0000 2021, -73.968542, 40.780709, Both! 
forjustminutes, Thu Jan 21 20:29:23 +0000 2021, -79.272570, 43.629311, @barbiedreamdyke leave me alone 😭 
stacy_stace7, Thu Jan 21 20:29:23 +0000 2021, -117.990805, 33.924735, @Lauren_Levi 🥰 
RocBoiP, Thu Jan 21 20:29:23 +0000 2021, -87.732013, 41.833585, YES!!!!!! 
amdavis1218, Thu Jan 21 20:29:24 +0000 2021, -83.173867, 32.678207, The only people that would be offended by the battle to rail against racism &amp; White Supremacy, would be a racist of… https://t.co/0vcrFoBF4h 
4larryyy, Thu Jan 21 20:29:24 +0000 2021, -91.090800, 30.459100, @GuhDassDerrick yesterday hoe 😤 
jackstraw23, Thu Jan 21 20:29:24 +0000 2021, -84.439293, 39.402311, @jenniferforrep When is the house going to finally do something to check @MikeDeWine and his never ending curfew? #theemperorhasnoclothes 
Julissa_x34, Thu Jan 21 20:29:24 +0000 2021, -95.377814, 30.063515, @MiilenaLuciana Gracias linda 🥰🥰 
minehike1313, Thu Jan 21 20:29:24 +0000 2021, -75.483936, 40.591825, @Tylerleelee_ @dynodp1 @realMeetKevin Idk why people can't stay in the middle? 
adidasfetish37, Thu Jan 21 20:29:24 +0000 2021, -85.366564, 33.154505, Imma just try to laugh it off 
Sprayberrybot, Thu Jan 21 20:29:24 +0000 2021, -84.493871, 34.014572, Just posted a photo @ Sprayberry Bottle Shop https://t.co/aCHXXVQO8I 
olivveeandchell, Thu Jan 21 20:29:24 +0000 2021, -75.117998, 40.004866, Best one 
Tannerjames13, Thu Jan 21 20:29:24 +0000 2021, -71.021340, 42.256124, I just got a compliment on my eyebrows, idk how to take that or to go from here 
RachelPost11, Thu Jan 21 20:29:24 +0000 2021, -105.605821, 41.308163, Ahh! Just cut up a cold tofu hot dog into some costco seaweed salad and called it a poké bowl. I almost forgot what… https://t.co/8RVEEE411B 
gregeverygmailc, Thu Jan 21 20:29:24 +0000 2021, -83.345120, 42.325387, @Sheila94231956 @EsoOrc @mattgaetz @GOPLeader @Liz_Cheney 7. Investigate The hate and division could have ended if… https://t.co/yTOEOycf9J 
waterloosunset, Thu Jan 21 20:29:24 +0000 2021, -72.102718, 41.549289, Aww man, now my eyes are perspiring... 
jasonlytle, Thu Jan 21 20:29:24 +0000 2021, -119.306608, 37.269176, awww hell....all hail! 
BDaught98, Thu Jan 21 20:29:24 +0000 2021, -83.641199, 32.582630, @BigDavidMullins @AUHydrogen Been trying with Walmart’s website. It couldn’t have been available for more than 5 seconds. 
TatiJacky__, Thu Jan 21 20:29:24 +0000 2021, -75.117998, 40.004866, Being doubted by your Black Male boss &lt; 
